"LEEFTIJDCAT4P","GESLACHT","roker","zware_drinker","obesitas","bewegen_3cat","moeite_rondkomen_2cat","UITSPRAAKBUURT3_CAT","LFT0109","langdurig_ziek_numeriek","ethniciteit_numeriek","gehuwd_numeriek","gescheiden_numeriek","verweduwd_numeriek","nooit_gehuwd_numeriek","beperkt_degelijks_leven_numeriek","ernstig_beperkt_dagelijks_leven_numeriek","niet_beperkt_dagelijks_leven_numeriek","opleiding_hoog_numeriek","opleiding_laag_numeriek","opleiding_middel_numeriek","inkomen_kwint1_numeriek","inkomen_kwint2_numeriek","inkomen_kwint3_numeriek","inkomen_kwint4_numeriek","inkomen_kwint5_numeriek","niet_stedelijk_buurt_numeriek","stedelijk_buurt_numeriek","Freq","perc","MHI5_voorspeld","MHI5_voorspeld_absoluut"
"18-34","Man","Rookt niet","Nee (drinkt minder vaak of niet)","Ja","4.5 - 10 uur","Ja (enige of grote moeite)","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",23.45,0.85,0,0.05,0,0,0.95,0.8,0.2,0,0.3,0.2,0.5,0.05,0.05,0.15,0.25,0.5,0.9,0.1,20,0.000245392751098133,-0.2498225857613,73.7631372060973
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",25.8709677419355,0.913978494623656,0.010752688172043,0.150537634408602,0,0,0.849462365591398,0.946236559139785,0.0537634408602151,0,0.376344086021505,0.0860215053763441,0.537634408602151,0.032258064516129,0.021505376344086,0.0537634408602151,0.301075268817204,0.591397849462366,0.827956989247312,0.172043010752688,93,0.00114107629260632,0.00679024074097991,77.8684286974047
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",25,1,0.2,0,0,0,1,1,0,0,0.6,0,0.4,0.2,0.2,0.2,0.2,0.2,0.6,0.4,5,6.13481877745331e-05,-0.298616723306788,72.9825286900636
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Neutraal",26,1,0,0,0,0,1,1,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,2,2.45392751098133e-05,-0.903306408669636,63.3087042985171
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Ja",27.8888888888889,0.777777777777778,0,0,0.111111111111111,0,0.888888888888889,0.777777777777778,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.555555555555556,0,0.111111111111111,0.111111111111111,0.444444444444444,0.333333333333333,0.888888888888889,0.111111111111111,9,0.00011042673799416,-0.79612134383541,65.0234507539336
"18-34","Man","Rookt niet","Ja","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Nee",27,0.666666666666667,0,0,0,0,1,1,0,0,0,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.666666666666667,3,3.68089126647199e-05,-0.987704406932577,61.9585052890801
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",23,0.833333333333333,0.0555555555555556,0.111111111111111,0.0555555555555556,0,0.833333333333333,0.888888888888889,0.111111111111111,0,0.277777777777778,0.166666666666667,0.555555555555556,0,0.111111111111111,0.0555555555555556,0.444444444444444,0.388888888888889,0.666666666666667,0.333333333333333,18,0.000220853475988319,-0.166085115390619,75.1027690916193
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",24.253164556962,0.924050632911392,0.0253164556962025,0.0759493670886076,0.00632911392405063,0,0.917721518987342,0.924050632911392,0.0759493670886076,0,0.335443037974684,0.132911392405063,0.531645569620253,0.0316455696202532,0.0506329113924051,0.10126582278481,0.30379746835443,0.512658227848101,0.784810126582278,0.215189873417722,158,0.00193860273367525,0.00675291113309157,77.8678314984115
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",22.6428571428571,0.785714285714286,0.0714285714285714,0.0714285714285714,0,0,0.928571428571429,0.857142857142857,0.142857142857143,0,0.428571428571429,0.0714285714285714,0.5,0,0.214285714285714,0.214285714285714,0.214285714285714,0.357142857142857,0.428571428571429,0.571428571428571,14,0.000171774925768693,-0.294994297070712,73.0404802578303
